iter	Passed	Remaining
1331	77015	38623
1332	77070	38563
1333	77130	38507
1334	77187	38449
1335	77245	38391
1336	77298	38331
1337	77349	38270
1338	77402	38209
1339	77452	38148
1340	77504	38087
1341	77556	38027
1342	77615	37969
1343	77671	37911
1344	77728	37852
1345	77784	37794
1346	77838	37734
1347	77897	37677
1348	77957	37620
1349	78017	37563
1350	78074	37506
1351	78130	37447
1352	78189	37390
1353	78242	37329
1354	78297	37270
1355	78358	37214
1356	78418	37157
1357	78470	37097
1358	78532	37041
1359	78587	36982
1360	78652	36927
1361	78707	36868
1362	78767	36811
1363	78819	36751
1364	78883	36696
1365	78941	36638
1366	78992	36578
1367	79048	36519
1368	79101	36459
1369	79159	36401
1370	79210	36340
1371	79264	36281
1372	79319	36222
1373	79374	36163
1374	79433	36106
1375	79496	36050
1376	79550	35991
1377	79604	35931
1378	79656	35871
1379	79710	35811
1380	79763	35751
1381	79818	35693
1382	79881	35637
1383	79939	35580
1384	79996	35522
1385	80058	35465
1386	80115	35407
1387	80172	35350
1388	80231	35292
1389	80288	35234
1390	80351	35179
1391	80409	35121
1392	80458	35060
1393	80515	35001
1394	80576	34945
1395	80625	34883
1396	80672	34821
1397	80728	34763
1398	80778	34701
1399	80841	34646
1400	80892	34585
1401	80949	34527
1402	81002	34467
1403	81056	34408
1404	81107	34347
1405	81161	34288
1406	81219	34231
1407	81273	34171
1408	81333	34115
1409	81390	34056
1410	81445	33998
1411	81503	33940
1412	81558	33881
1413	81611	33821
1414	81663	33762
1415	81718	33703
1416	81772	33643
1417	81824	33584
1418	81877	33523
1419	81933	33465
1420	81989	33407
1421	82046	33349
1422	82095	33288
1423	82154	33231
1424	82209	33172
1425	82262	33112
1426	82311	33051
1427	82366	32992
1428	82427	32936
1429	82482	32877
1430	82536	32818
1431	82588	32758
1432	82642	32699
1433	82693	32639
1434	82755	32583
1435	82814	32526
1436	82867	32466
1437	82930	32410
1438	82988	32353
1439	83044	32295
1440	83100	32236
1441	83158	32179
1442	83216	32121
1443	83270	32062
1444	83333	32007
1445	83386	31947
1446	83440	31888
1447	83492	31828
1448	83553	31772
1449	83605	31712
1450	83663	31654
1451	83719	31596
1452	83779	31539
1453	83842	31484
1454	83890	31422
1455	83945	31364
1456	84004	31307
1457	84062	31249
1458	84117	31190
1459	84165	31129
1460	84224	31072
1461	84286	31016
1462	84345	30959
1463	84401	30901
1464	84461	30844
1465	84516	30785
1466	84568	30725
1467	84623	30667
1468	84681	30609
1469	84738	30552
1470	84791	30492
1471	84841	30432
1472	84899	30374
1473	84957	30317
1474	85011	30258
1475	85066	30199
1476	85131	30144
1477	85192	30088
1478	85254	30032
1479	85317	29976
1480	85378	29919
1481	85429	29859
1482	85486	29802
1483	85542	29743
1484	85603	29687
1485	85655	29627
1486	85706	29567
1487	85761	29509
1488	85817	29451
1489	85875	29393
1490	85931	29335
1491	85983	29275
1492	86043	29218
1493	86091	29158
1494	86143	29098
1495	86196	29039
1496	86251	28980
1497	86301	28920
1498	86358	28862
1499	86415	28805
1500	86469	28746
1501	86519	28686
1502	86573	28627
1503	86632	28570
1504	86683	28510
1505	86741	28453
1506	86795	28394
1507	86850	28335
1508	86906	28277
1509	86961	28219
1510	87020	28162
1511	87075	28103
1512	87130	28045
1513	87183	27986
1514	87245	27930
1515	87302	27872
1516	87353	27812
1517	87411	27755
1518	87469	27697
1519	87521	27638
1520	87573	27579
1521	87635	27522
1522	87686	27463
1523	87737	27403
1524	87797	27346
1525	87885	27298
1526	87935	27238
1527	87987	27179
1528	88041	27120
1529	88094	27061
1530	88147	27002
1531	88201	26943
1532	88258	26886
1533	88313	26828
1534	88370	26770
1535	88428	26712
1536	88487	26655
1537	88544	26597
1538	88592	26537
1539	88645	26478
1540	88702	26420
1541	88760	26363
1542	88812	26304
1543	88874	26247
1544	88924	26188
1545	88980	26130
1546	89035	26071
1547	89094	26014
1548	89144	25954
1549	89206	25898
1550	89258	25839
1551	89317	25782
1552	89367	25722
1553	89428	25666
1554	89484	25608
1555	89539	25549
1556	89585	25489
1557	89649	25433
1558	89707	25375
1559	89755	25315
1560	89805	25256
1561	89860	25197
1562	89915	25139
1563	89973	25082
1564	90030	25024
1565	90090	24967
1566	90138	24907
1567	90197	24850
1568	90259	24794
1569	90317	24736
1570	90374	24679
1571	90431	24621
1572	90486	24563
1573	90544	24505
1574	90594	24446
1575	90649	24387
1576	90705	24330
1577	90760	24271
1578	90815	24213
1579	90873	24156
1580	90930	24098
1581	90983	24039
1582	91037	23981
1583	91094	23923
1584	91150	23865
1585	91205	23807
1586	91254	23748
1587	91308	23689
1588	91364	23631
1589	91416	23572
1590	91468	23514
1591	91525	23456
1592	91585	23399
1593	91645	23342
1594	91696	23283
1595	91751	23225
1596	91804	23166
1597	91859	23108
1598	91913	23050
1599	91967	22991
1600	92025	22934
1601	92083	22877
1602	92143	22820
1603	92193	22760
1604	92246	22702
1605	92301	22644
1606	92357	22586
1607	92412	22528
